site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
High Island,1009,HIGHFL2,3179,4.0,Water Temperature,-17.1622,146.007,17-009,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.882448860182368,27.1508872311828,28.85935013888889,29.32971948924732,29.89274616935484,30.533880580357145,28.892897782258064,27.844575972222223,25.427238819444444,22.94685840277777,22.2546126344086,22.47935940860215,23.595634375,24.71877184139785,26.59684506944445,27.6405498655914,29.06494233870968,28.04517261904762,28.361377486559142,26.47374305555556,25.922027486559145,23.356350416666665,21.388827889784945,22.35790114247312,24.192666666666668,25.86096774193549,27.51881770833333,29.15352020833333,30.01771330645161,29.88617320402299,28.20922587365592,27.372350277777777,25.64769448924732,24.033225625000004,22.98406649797571,22.65558460854093,25.39805631944445,27.168935887096776,28.64295,29.789825873655914,29.749302688172044,29.39594494047619,29.46475201612904,28.778333333333336,25.99379838709677,24.67824347222222,24.06265443548387,23.71050870445345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.253779984798584,24.83129280092593,24.74383141025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humpy Island,1039,HUMPFL1,3259,4.0,Water Temperature,-23.2162,150.9638,23-016,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.44550819672131,22.9109375,24.512642807505213,25.59222595830532,26.454986559139787,26.559776785714284,26.94195362903226,24.925478775226164,24.239836583725623,20.982379430159835,18.56395228494624,19.67464314516129,21.03131849791377,23.489211693548388,24.79795062586927,25.45696949891068,,,,,,,18.74773970588236,18.79333245967742,21.03130833333333,23.318640255376344,25.429120763888893,27.767591599462364,27.60346384408601,27.34693638392857,26.60277096774194,25.57938118055556,23.41506939461884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.414783981841765,21.12039849537037,19.654018772401432,20.188448947132617,21.67528787037037,22.98408125,25.60282405092593,26.926299126344084,27.251774843189963,27.82714971264368,27.057088888888888,25.90029138888889,24.68865015375154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren Island,1041,BARRFL1,3119,4.0,Water Temperature,-23.1578,151.0707,23-031,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.127208381502893,23.93105625,22.32000631944444,20.88667432795699,20.619319086021505,22.24920958333333,24.33470389784946,26.74871770833333,28.6941061155914,29.32077688172043,29.05985513392857,27.17952822580645,26.255218819444448,24.00127553763441,21.29493534722222,20.54607251344086,20.701958333333334,21.2987308908046,22.68159811827957,24.223063933287005,25.289629032258063,26.221637768817207,26.568183035714284,26.8802620967742,25.08833680555556,24.393439811701413,21.51993611111111,19.0738938172043,19.78409072580645,20.86637361111111,23.19645417789757,24.462647916666665,25.322491304347825,,,,,,,18.957726724137927,19.06401868279569,20.91628229166667,23.03672103494624,25.19856027777778,27.736181518817205,27.510111088709674,27.175986160714285,26.52487130376344,25.505618194444445,23.59507746636772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bargara,1049,BUNSL1,3466,4.0,Water Temperature,-24.7989,152.4503,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.751735294117644,21.135875608061152,23.79588440860215,25.369285615010423,27.420273521505376,28.44741061827957,28.599020849420853,26.71423671822461,24.73301041666667,22.113733870967742,19.382904166666663,17.55940188172043,18.8355813172043,21.6800933908046,24.226856758574307,25.45351180555556,26.95984636118598,26.573950808625337,26.651887234042555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shute and Tancred Islands,1058,SHTANFL1,3716,4.0,Water Temperature,-20.3009,148.7983,20-048,LANGFORD-BIRD REEF,20019S,-20.091667,148.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.06969270491804,22.63513037037037,21.19695674283154,20.94981514336917,22.28152895833333,24.049793077956988,26.08714798611112,28.05129603494624,28.833181160394265,28.42949171626984,28.78885963261649,27.688889953703704,24.82136216397849,22.50471601851852,21.654405958781364,22.16257125896057,23.52792055555556,24.1084873655914,26.593335046296293,28.123226545698923,28.86603732078853,29.630763026819924,28.774182414874552,27.31813412037037,26.541726666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Reef,1060,NEFL1,3682,4.0,Water Temperature,-18.5718,146.4947,18-049,FANTOME (EUMILLI) ISLAND REEF,18053S,-18.675,146.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.37666645907473,27.20340583333333,26.35603373655914,24.35465402777778,22.79532694214876,22.03115295735901,24.63554715277777,26.85798340053764,28.326169583333336,29.7219501344086,29.38002815860215,29.238818824404763,29.26645235215054,28.51787291666667,25.997525268817206,24.512835694444444,24.16363877688172,24.27440813172043,25.85368013888889,26.69064784946237,27.24914180555556,28.983159475806445,29.551843615591395,29.757129389880955,28.85240067204301,27.33069638888889,25.866657152588555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.409278958785247,25.247153078703704,23.87836218637993,23.18551521057348,24.61490131944444,26.58422741935484,27.614846458333336,28.95915721326165,29.84359708781362,29.87592336309524,29.90823369175627,27.49467078703704,25.21531711469534,23.231262546296293,23.1480105734767,23.87936875,24.984279212962964,26.507911491935484,27.14437585648148,28.929261984767024,28.970652956989248,28.86040597718254,28.24738149641577,27.312937546296293,26.410036956521736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelican Island,1065,PELFL1,3120,4.0,Water Temperature,-23.2397,150.8742,23-017,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43758,25.057821303763443,27.06459236111112,28.716964180107528,28.955604166666667,28.79806436011905,26.54610060483871,25.85120493055556,22.89713313172043,19.98770868055556,19.57860725806452,20.2867438844086,21.652600359195404,23.21024865591398,24.916651388888887,25.865118951612903,26.983510080645164,26.605662202380948,27.01704838709677,24.726647222222223,24.0087560483871,20.057583333333334,17.719569892473118,19.57398790322581,21.47013055555556,24.26827620967742,25.17951875,25.89988478260869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.82367697795071,20.7668119212963,19.152395788530463,20.05010150089605,21.84866145833333,23.402404861111112,26.212245092592592,27.24321321684588,27.62284937275986,27.94987507183908,27.071104547491043,25.627260347222222,24.408443373493974,21.15914,19.91634,20.4252935483871,22.62640333333333,24.222861290322587,25.82711666666667,27.261360000000007,28.61276451612904,28.89118571428571,27.99237419354838,24.87784,22.789510000000003,21.003373333333336,21.10701935483871,21.525354838709674,22.45150344827587,25.19962580645161,25.570616666666663,27.38296129032258,28.315803225806444,27.60301851851852,27.17023870967742,25.461213333333333,24.2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperieuse Reef,1134,IMPERIEUSELAGSL1,9127,4.0,Water Temperature,-17.5358,118.9658,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.058231359649124,26.98638777777778,26.425565456989247,25.90170168010753,25.851225555555555,27.338014045698923,29.08261266762452,29.41434513888889,29.38595562275986,29.169044469246032,29.46096969086021,29.015607754629627,27.415471169354834,25.965313587962964,25.3117279905914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.73448764880952,26.814596326164875,28.29453858796296,29.980432347670256,29.849403965053767,29.28059944923372,30.211103337813626,30.46743094907408,28.50076359767025,27.07570157407408,26.08407688172043,25.776039404121864,27.063526550925925,26.894410333333333,,,,,,,,,,,,,,
Woiz Reef,2304,WOIZSL1,10936,4.0,Water Temperature,-10.1741,143.226,,UGAR,00089S,-9.5075,143.544833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.958394918699188,28.70121758512545,28.786003472222223,27.559854905913976,26.52207078703704,25.87934551971326,25.59796798835125,26.019623958333334,26.13597179659498,27.91757939814815,29.305314829749104,30.07255436827957,30.34880464559387,30.82806129032258,29.649308148148148,28.659391778673832,28.00494965277778,26.9307518684604,,,,,,,,,,,,,,,,,29.6226768486917,29.80503734318996,29.01535034722222,29.76493799283154,29.092036759259265,27.514187275985662,26.14582210648148,25.52179744623656,25.534850089605737,25.680909097222223,26.667810707885305,28.36582604166667,30.08309935035842,29.25401635304659,29.020944419642856,29.22396005824373,28.8542950925926,27.62857253584229,26.396746875,25.617733579749103,25.13559433243728,25.22675340277777,26.060191980286746,27.3482263425926,29.24543362455197,30.388005846774192,29.95649228927203,29.60969115143369,29.05437680555556,27.768480309139782,26.58794664351852,25.71308718637993,26.04118615591398,25.832173564814816,26.699829637096773,28.32077340277777,29.829916039426525,29.96549092741936,28.98191183035714,29.134642607526885,29.07273407407408,27.842434117383515,26.685585046296296,26.625251478494626,26.26925925179212,26.181544328703705,27.69190654121864,29.14017916666667,30.279544578853045
Davies Reef,4,DAVAWSL1,4010,4.0,Water Temperature,-18.8312,147.6339,,DAVIES REEF,18096S,-18.825,147.641667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63543977994076,23.837184677419355,24.524936875,25.703139695340504,27.207764745370373,27.88696953405018,28.0873417562724,28.281194097222222,28.221462634408603,27.121960462962964,25.787424910394265,24.14633596743295,23.00835669802867,23.111585259856632,23.71784361111111,25.174243660394264,26.470773472222223,27.73865633960574,28.8159373655914,29.79249616858237,28.42382426075269,27.80903474537037,25.925462612007166,24.553931851851853,23.70039885752688,23.85333279569892,24.542627777777778,25.59057549283154,26.982460902777778,28.255857706093188,28.44777933333333,,,,,,,,,,,
